XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
XX,22,00,00,00,00,00,07,00,00,00,XX
29,00,00,00,00,00,00,10,00,00,00,00
16,00,00,04,00,00,07,00,00,05,00,00
XX,XX,17,00,00,XX,04,00,00,04,00,00
15,00,00,00,00,03,00,00,11,00,00,XX
08,00,00,00,17,00,00,07,00,00,XX,XX
XX,26,00,00,00,00,12,00,00,00,00,XX
XX,XX,12,00,00,03,00,00,17,00,00,00
XX,11,00,00,03,00,00,16,00,00,00,00
05,00,00,07,00,00,XX,04,00,00,XX,XX
04,00,00,04,00,00,14,00,00,16,00,00
10,00,00,00,00,31,00,00,00,00,00,00
XX,07,00,00,00,28,00,00,00,00,00,XX

XX,XX,24,16,20,07,04,XX,10,04,15,XX
XX,14,00,00,00,00,00,XX,00,00,00,07
XX,00,00,00,00,00,00,08,00,00,00,00
XX,00,00,38,00,00,XX,00,00,XX,00,00
XX,03,07,00,00,XX,09,00,00,21,00,00
XX,00,00,00,00,16,00,00,04,00,00,XX
XX,00,00,00,15,00,00,04,00,00,23,XX
XX,XX,00,00,00,00,03,00,00,00,00,05
XX,XX,15,00,00,08,00,00,30,00,00,00
XX,07,00,00,10,00,00,XX,00,00,00,00
XX,00,00,XX,00,00,XX,23,00,00,21,14
XX,00,00,04,00,00,03,00,00,04,00,00
XX,00,00,00,00,XX,00,00,00,00,00,00
XX,XX,00,00,00,XX,00,00,00,00,00,XX
