XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
XX,04,00,00,06,00,00,00,23,00,00,00
17,00,00,00,38,00,00,00,00,00,00,00
15,00,00,00,00,00,16,00,00,16,00,00
XX,XX,03,00,00,17,00,00,15,00,00,00
16,00,00,25,00,00,00,00,00,00,XX,XX
23,00,00,00,05,00,00,21,00,00,00,XX
06,00,00,00,07,00,00,00,23,00,00,00
XX,09,00,00,00,04,00,00,06,00,00,00
XX,XX,35,00,00,00,00,00,00,06,00,00
18,00,00,00,17,00,00,03,00,00,XX,XX
14,00,00,17,00,00,20,00,00,00,00,00
38,00,00,00,00,00,00,00,23,00,00,00
24,00,00,00,06,00,00,00,13,00,00,XX

XX,XX,06,18,XX,10,03,30,XX,16,29,30
XX,06,00,00,XX,00,00,00,13,00,00,00
XX,00,00,00,08,00,00,00,00,00,00,00
XX,00,00,00,00,00,32,00,00,16,00,00
XX,14,20,00,00,06,00,00,14,00,00,00
XX,00,00,31,00,00,00,00,00,00,20,XX
XX,00,00,00,XX,00,00,07,00,00,00,17
XX,00,00,00,12,00,00,00,XX,00,00,00
XX,XX,00,00,00,30,00,00,09,00,00,00
XX,29,30,00,00,00,00,00,00,13,00,00
XX,00,00,00,16,00,00,10,00,00,21,16
XX,00,00,14,00,00,03,00,00,00,00,00
XX,00,00,00,00,00,00,00,XX,00,00,00
XX,00,00,00,XX,00,00,00,XX,00,00,XX
