XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
23,00,00,00,19,00,00,00,07,00,00,XX
24,00,00,00,09,00,00,00,10,00,00,00
XX,16,00,00,XX,06,00,00,00,07,00,00
11,00,00,00,00,31,00,00,00,00,00,00
04,00,00,08,00,00,00,XX,23,00,00,00
XX,03,00,00,07,00,00,16,00,00,XX,XX
XX,08,00,00,00,XX,XX,22,00,00,00,XX
XX,XX,06,00,00,06,00,00,04,00,00,XX
24,00,00,00,XX,08,00,00,00,07,00,00
30,00,00,00,00,00,00,11,00,00,00,00
16,00,00,06,00,00,00,XX,08,00,00,XX
08,00,00,00,09,00,00,00,24,00,00,00
XX,04,00,00,19,00,00,00,23,00,00,00

XX,16,33,29,XX,04,22,20,XX,04,23,XX
XX,00,00,00,XX,00,00,00,XX,00,00,30
XX,00,00,00,XX,00,00,00,04,00,00,00
XX,03,00,00,05,XX,00,00,00,31,00,00
XX,00,00,00,00,04,00,00,00,00,00,00
XX,00,00,24,00,00,00,XX,17,00,00,00
XX,XX,00,00,03,00,00,XX,00,00,31,XX
XX,XX,00,00,00,XX,22,04,00,00,00,XX
XX,29,27,00,00,XX,00,00,04,00,00,04
XX,00,00,00,04,20,00,00,00,29,00,00
XX,00,00,00,00,00,00,XX,00,00,00,00
XX,00,00,03,00,00,00,04,XX,00,00,14
XX,00,00,00,XX,00,00,00,XX,00,00,00
XX,XX,00,00,XX,00,00,00,XX,00,00,00
