XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
XX,XX,23,00,00,00,08,00,00,12,00,00
34,00,00,00,00,00,23,00,00,00,00,00
16,00,00,16,00,00,XX,19,00,00,00,00
XX,34,00,00,00,00,00,00,00,14,00,00
24,00,00,00,28,00,00,00,00,00,XX,XX
06,00,00,07,00,00,00,XX,07,00,00,00
03,00,00,08,00,00,04,00,00,04,00,00
09,00,00,00,XX,11,00,00,00,03,00,00
XX,XX,21,00,00,00,00,00,21,00,00,00
03,00,00,36,00,00,00,00,00,00,00,XX
21,00,00,00,00,XX,12,00,00,17,00,00
22,00,00,00,00,00,35,00,00,00,00,00
04,00,00,06,00,00,24,00,00,00,XX,XX

XX,XX,XX,16,29,30,XX,05,19,XX,29,30
XX,17,41,00,00,00,XX,00,00,04,00,00
XX,00,00,00,00,00,XX,00,00,00,00,00
XX,00,00,16,00,00,07,15,00,00,00,00
XX,14,00,00,00,00,00,00,00,08,00,00
XX,00,00,00,04,00,00,00,00,00,35,12
XX,00,00,XX,00,00,00,29,06,00,00,00
XX,00,00,03,00,00,06,00,00,XX,00,00
XX,00,00,00,24,10,00,00,00,17,00,00
XX,19,21,00,00,00,00,00,29,00,00,00
XX,00,00,04,00,00,00,00,00,00,00,16
XX,00,00,00,00,04,XX,00,00,16,00,00
XX,00,00,00,00,00,XX,00,00,00,00,00
XX,00,00,XX,00,00,XX,00,00,00,XX,XX
